meuseDB/meuse/gid,meuseDB/meuse/cadmium,meuseDB/meuse/copper,meuseDB/meuse/lead,meuseDB/meuse/zinc,meuseDB/meuse/elev,meuseDB/meuse/dist,meuseDB/meuse/om,meuseDB/meuse/ffreq,meuseDB/meuse/soil,meuseDB/meuse/lime,meuseDB/meuse/landuse,meuseDB/meuse/dist.m,meuseDB/meuse/geom
1,11.699999999999999,85.000000000000000,299.000000000000000,1022.000000000000000,7.909000000000000,0.001358030000000,13.600000000000000,1,1,1,Ah,50.000000000000000,0101000020E6100000C40B2252D36EF33FD2C26515368F4440
2,8.600000000000000,81.000000000000000,277.000000000000000,1141.000000000000000,6.983000000000000,0.012224300000000,14.000000000000000,1,1,1,Ah,30.000000000000000,0101000020E6100000000000000819064100000000D85B1441
3,6.500000000000000,68.000000000000000,199.000000000000000,640.000000000000000,7.800000000000000,0.103029000000000,13.000000000000000,1,1,1,Ah,150.000000000000000,0101000020E610000000000000681D064100000000845B1441
4,2.600000000000000,81.000000000000000,116.000000000000000,257.000000000000000,7.655000000000000,0.190094000000000,8.000000000000000,1,2,0,Ga,270.000000000000000,0101000020E6100000000000009021064100000000B05A1441
5,2.800000000000000,48.000000000000000,117.000000000000000,269.000000000000000,7.480000000000000,0.277090000000000,8.699999999999999,1,2,0,Ah,380.000000000000000,0101000020E610000000000000D82106410000000048581441
6,3.000000000000000,61.000000000000000,137.000000000000000,281.000000000000000,7.791000000000000,0.364067000000000,7.800000000000000,1,2,0,Ga,470.000000000000000,0101000020E610000000000000702406410000000030571441
7,3.200000000000000,31.000000000000000,132.000000000000000,346.000000000000000,8.217000000000001,0.190094000000000,9.199999999999999,1,2,0,Ah,240.000000000000000,0101000020E610000000000000681D064100000000E8581441
8,2.800000000000000,29.000000000000000,150.000000000000000,406.000000000000000,8.490000000000000,0.092151600000000,9.500000000000000,1,1,0,Ab,120.000000000000000,0101000020E6100000000000001819064100000000CC581441
9,2.400000000000000,37.000000000000000,133.000000000000000,347.000000000000000,8.667999999999999,0.184614000000000,10.600000000000000,1,1,0,Ab,240.000000000000000,0101000020E610000000000000201A064100000000BC561441
10,1.600000000000000,24.000000000000000,80.000000000000000,183.000000000000000,9.049000000000000,0.309702000000000,6.300000000000000,1,2,0,W,420.000000000000000,0101000020E610000000000000801F064100000000C0551441
11,1.400000000000000,25.000000000000000,86.000000000000000,189.000000000000000,9.015000000000001,0.315116000000000,6.400000000000000,1,2,0,Fh,400.000000000000000,0101000020E610000000000000381E064100000000EC541441
12,1.800000000000000,25.000000000000000,97.000000000000000,251.000000000000000,9.073000000000000,0.228123000000000,9.000000000000000,1,1,0,Ag,300.000000000000000,0101000020E61000000000000040190641000000009C531441
13,11.199999999999999,93.000000000000000,285.000000000000000,1096.000000000000000,7.320000000000000,0.000000000000000,15.400000000000000,1,1,1,W,20.000000000000000,0101000020E61000000000000050140641000000006C581441
14,2.500000000000000,31.000000000000000,183.000000000000000,504.000000000000000,8.815000000000000,0.113932000000000,8.400000000000000,1,1,0,Ah,130.000000000000000,0101000020E610000000000000481706410000000010571441
15,2.000000000000000,27.000000000000000,130.000000000000000,326.000000000000000,8.936999999999999,0.168336000000000,9.100000000000000,1,1,0,Ah,220.000000000000000,0101000020E6100000000000009818064100000000A4551441
16,9.500000000000000,86.000000000000000,240.000000000000000,1032.000000000000000,7.702000000000000,0.000000000000000,16.199999999999999,1,1,1,W,10.000000000000000,0101000020E610000000000000F012064100000000F8561441
17,7.000000000000000,74.000000000000000,133.000000000000000,606.000000000000000,7.160000000000000,0.012224300000000,16.000000000000000,1,1,1,W,10.000000000000000,0101000020E610000000000000D810064100000000C0541441
18,7.100000000000000,69.000000000000000,148.000000000000000,711.000000000000000,7.100000000000000,0.012224300000000,16.000000000000000,1,1,1,W,10.000000000000000,0101000020E610000000000000B00E064100000000B0521441
19,8.699999999999999,69.000000000000000,207.000000000000000,735.000000000000000,7.020000000000000,0.000000000000000,13.699999999999999,1,1,1,W,10.000000000000000,0101000020E610000000000000880C064100000000BC501441
20,12.900000000000000,95.000000000000000,284.000000000000000,1052.000000000000000,6.860000000000000,0.000000000000000,14.800000000000001,1,1,1,,10.000000000000000,0101000020E610000000000000580A0641000000008C4E1441
21,5.500000000000000,53.000000000000000,194.000000000000000,673.000000000000000,8.908000000000000,0.070346800000000,10.199999999999999,1,1,1,Am,80.000000000000000,0101000020E610000000000000100D064100000000904E1441
22,2.800000000000000,35.000000000000000,123.000000000000000,402.000000000000000,8.990000000000000,0.097513600000000,7.200000000000000,1,1,1,Am,140.000000000000000,0101000020E610000000000000000F064100000000B44E1441
23,2.900000000000000,35.000000000000000,110.000000000000000,343.000000000000000,8.830000000000000,0.113932000000000,7.200000000000000,1,1,1,Ag,160.000000000000000,0101000020E610000000000000000F064100000000E04D1441
24,1.700000000000000,24.000000000000000,85.000000000000000,218.000000000000000,9.020000000000000,0.342321000000000,7.000000000000000,1,2,0,Ah,440.000000000000000,0101000020E610000000000000081D064100000000F4511441
25,1.400000000000000,26.000000000000000,75.000000000000000,200.000000000000000,8.976000000000001,0.385804000000000,6.900000000000000,1,2,0,W,490.000000000000000,0101000020E610000000000000D81C0641000000005C501441
26,1.500000000000000,22.000000000000000,76.000000000000000,194.000000000000000,8.973000000000001,0.429289000000000,6.300000000000000,1,2,0,W,530.000000000000000,0101000020E610000000000000781D064100000000A84F1441
27,1.300000000000000,27.000000000000000,73.000000000000000,207.000000000000000,8.507000000000000,0.315116000000000,5.600000000000000,1,2,0,Ab,400.000000000000000,0101000020E6100000000000008018064100000000A44F1441
28,1.300000000000000,24.000000000000000,67.000000000000000,180.000000000000000,8.743000000000000,0.320574000000000,4.400000000000000,1,2,0,Ag,400.000000000000000,0101000020E61000000000000068170641000000003C4E1441
29,1.800000000000000,22.000000000000000,87.000000000000000,240.000000000000000,8.973000000000001,0.249863000000000,5.300000000000000,1,2,0,Ah,330.000000000000000,0101000020E610000000000000A015064100000000444F1441
30,1.500000000000000,21.000000000000000,65.000000000000000,180.000000000000000,9.042999999999999,0.489064000000000,4.800000000000000,1,2,0,Ag,630.000000000000000,0101000020E610000000000000402306410000000048521441
31,1.300000000000000,29.000000000000000,78.000000000000000,208.000000000000000,8.688000000000001,0.472778000000000,2.600000000000000,1,2,0,B,570.000000000000000,0101000020E610000000000000681C064100000000684C1441
32,1.300000000000000,21.000000000000000,64.000000000000000,198.000000000000000,8.727000000000000,0.287957000000000,1.000000000000000,1,2,0,Ag,390.000000000000000,0101000020E6100000000000007014064100000000244B1441
33,2.100000000000000,27.000000000000000,77.000000000000000,250.000000000000000,8.327999999999999,0.271622000000000,2.400000000000000,1,2,0,Ah,360.000000000000000,0101000020E610000000000000E812064100000000884A1441
34,1.200000000000000,26.000000000000000,80.000000000000000,192.000000000000000,7.971000000000000,0.385807000000000,1.900000000000000,1,2,0,B,500.000000000000000,0101000020E610000000000000D016064100000000BC491441
35,1.600000000000000,27.000000000000000,82.000000000000000,213.000000000000000,7.809000000000000,0.418417000000000,3.100000000000000,1,2,0,B,550.000000000000000,0101000020E610000000000000E01606410000000078481441
36,3.000000000000000,32.000000000000000,97.000000000000000,321.000000000000000,6.986000000000000,0.244474000000000,1.600000000000000,1,2,0,Ab,340.000000000000000,0101000020E610000000000000300F064100000000A8481441
37,5.800000000000000,50.000000000000000,166.000000000000000,569.000000000000000,7.756000000000000,0.135709000000000,3.500000000000000,1,2,0,Ab,210.000000000000000,0101000020E610000000000000C00C064100000000744A1441
38,7.900000000000000,67.000000000000000,217.000000000000000,833.000000000000000,7.784000000000000,0.048496500000000,8.100000000000000,1,1,1,Am,60.000000000000000,0101000020E6100000000000009009064100000000E84B1441
39,8.100000000000000,77.000000000000000,219.000000000000000,906.000000000000000,7.000000000000000,0.000000000000000,7.900000000000000,1,1,1,W,10.000000000000000,0101000020E610000000000000F007064100000000884C1441
40,14.100000000000000,108.000000000000000,405.000000000000000,1454.000000000000000,6.920000000000000,0.001358030000000,9.500000000000000,1,1,1,W,20.000000000000000,0101000020E610000000000000F804064100000000F04A1441
41,2.400000000000000,32.000000000000000,102.000000000000000,298.000000000000000,7.516000000000000,0.135709000000000,1.400000000000000,1,2,0,Am,170.000000000000000,0101000020E6100000000000007008064100000000A8481441
42,1.200000000000000,21.000000000000000,48.000000000000000,167.000000000000000,8.180000000000000,0.266220000000000,,1,2,0,Ga,320.000000000000000,0101000020E610000000000000880A06410000000084461441
43,1.700000000000000,22.000000000000000,65.000000000000000,176.000000000000000,8.694000000000001,0.211843000000000,,1,2,0,W,260.000000000000000,0101000020E61000000000000018070641000000003C461441
44,1.300000000000000,21.000000000000000,62.000000000000000,258.000000000000000,9.279999999999999,0.320572000000000,2.000000000000000,1,2,0,Ah,360.000000000000000,0101000020E610000000000000D005064100000000FC431441
45,4.200000000000000,51.000000000000000,281.000000000000000,746.000000000000000,7.940000000000000,0.081222000000000,5.100000000000000,1,2,0,Ah,100.000000000000000,0101000020E61000000000000018040641000000002C481441
46,4.300000000000000,50.000000000000000,294.000000000000000,746.000000000000000,6.360000000000000,0.190086000000000,5.300000000000000,1,2,0,Am,200.000000000000000,0101000020E6100000000000002002064100000000F4451441
47,3.100000000000000,38.000000000000000,211.000000000000000,464.000000000000000,7.780000000000000,0.287941000000000,4.500000000000000,1,2,0,Ah,320.000000000000000,0101000020E610000000000000D801064100000000B8431441
48,1.700000000000000,26.000000000000000,135.000000000000000,365.000000000000000,8.180000000000000,0.423826000000000,4.900000000000000,1,2,0,Ah,480.000000000000000,0101000020E610000000000000D00106410000000054411441
49,1.700000000000000,24.000000000000000,112.000000000000000,282.000000000000000,9.420000000000000,0.554289000000000,4.500000000000000,1,2,0,Bw,660.000000000000000,0101000020E6100000000000007001064100000000EC3E1441
50,2.100000000000000,32.000000000000000,162.000000000000000,375.000000000000000,8.867000000000001,0.603225000000000,5.500000000000000,1,2,0,Bw,690.000000000000000,0101000020E61000000000000038FF0541000000001C3D1441
51,1.700000000000000,24.000000000000000,94.000000000000000,222.000000000000000,8.292000000000000,0.614071000000000,3.400000000000000,1,2,0,Ab,710.000000000000000,0101000020E61000000000000038FD054100000000803C1441
52,8.199999999999999,47.000000000000000,191.000000000000000,812.000000000000000,8.060000000000001,0.001358030000000,11.100000000000000,1,1,1,Ah,10.000000000000000,0101000020E6100000000000006800064100000000FC481441
53,17.000000000000000,128.000000000000000,405.000000000000000,1548.000000000000000,7.980000000000000,0.000000000000000,12.300000000000001,1,1,1,W,10.000000000000000,0101000020E61000000000000038FC05410000000024481441
54,12.000000000000000,117.000000000000000,654.000000000000000,1839.000000000000000,7.900000000000000,0.005432100000000,16.500000000000000,1,1,1,W,10.000000000000000,0101000020E61000000000000028F80541000000007C471441
